Gene_symbol	ProbeID_or_any_other_identifier	Markers_of_class1_or_class2	Weight_value__This_column_is_optional
ANXA1	DAP3_1678	1	2.53
CCL21	DAP3_4123	1	2.47
CHSY1	DAP3_1610	1	2.45
AP1B1	DAP1_4020	1	2.45
TEAD4	DAP4_2797	1	2.39
ELOVL2	DAP4_2406	1	2.39
TCF4	DAP1_0054	1	2.38
TSC22D2	DAP3_1020	1	2.38
DUSP5	DAP4_2418	1	2.36
CCDC6	DAP3_5242	1	2.36
CD48	DAP3_0973	1	2.35
TNK2	DAP1_0901	1	2.35
DAB2	DAP3_1032	1	2.35
LOXL2	DAP2_3941	1	2.34
RNASE1	DAP3_2205	1	2.34
LPP	DAP4_2160	1	2.33
CXCR4	DAP3_0038	1	2.33
SLIT3	DAP3_1608	1	2.31
DOC1	DAP3_0744	1	2.25
CCL19	DAP4_5839	1	2.23
AKAP13	DAP3_5744	1	2.23
HRASLS3	DAP3_5700	2	-2.13
POLRMT	DAP4_3027	2	-2.14
INSM1	DAP3_2137	2	-2.18
PLCB3	DAP2_1935	2	-2.2
CPN1	DAP2_4148	2	-2.2
ATP5D	DAP3_0889	2	-2.22
ZAP128	DAP4_3503	2	-2.22
ARF4	DAP3_1562	2	-2.23
ZNF185	DAP4_3279	2	-2.26
CYP2B6	DAP2_5898	2	-2.26
GGCX	DAP3_5468	2	-2.27
HMGCR	DAP4_0984	2	-2.28
SFRS2	DAP1_5546	2	-2.28
CUTL2	DAP3_3049	2	-2.29
CREB1	DAP3_3783	2	-2.3
GCKR	DAP3_2198	2	-2.3
PON3	DAP2_6140	2	-2.3
SSFA2	DAP1_1550	2	-2.3
BAIAP2	DAP4_2296	2	-2.31
C1orf24	DAP4_0979	2	-2.31
RAD52	DAP4_0949	2	-2.32
C5	DAP3_6123	2	-2.32
USP14	DAP3_3988	2	-2.34
SLC4A4	DAP2_3569	2	-2.34
MSH6	DAP3_5076	2	-2.36
ADH6	DAP4_6012	2	-2.36
C9orf60	DAP3_2882	2	-2.37
AOX1	DAP4_3066	2	-2.37
SELENBP1	DAP4_5379	2	-2.38
TM7SF2	DAP3_5067	2	-2.39
GJB1	DAP4_4304	2	-2.39
PCYT2	DAP3_1753	2	-2.4
KCNJ3	DAP3_5959	2	-2.4
PLCG2	DAP2_4928	2	-2.41
ASAHL	DAP3_1623	2	-2.41
PTPN18	DAP4_0140	2	-2.42
SREBF2	DAP1_5123	2	-2.42
GSTM1	DAP4_3363	2	-2.43
TDO2	DAP1_5842	2	-2.43
PMM1	DAP3_5257	2	-2.44
SNX10	DAP1_3440	2	-2.44
SCIRP10	DAP4_3810	2	-2.44
RRM1	DAP4_3111	2	-2.44
DLGAP4	DAP3_4223	2	-2.45
CALCR	DAP4_5050	2	-2.45
EMD	DAP1_1085	2	-2.47
AKR1A1	DAP4_3497	2	-2.48
ATP2C1	DAP1_5518	2	-2.48
DST	DAP1_5672	2	-2.49
FLJ23441	DAP2_5268	2	-2.49
HSPE1	DAP4_1861	2	-2.5
GRK4	DAP1_5381	2	-2.5
BRP44	DAP1_0656	2	-2.5
CCT8	DAP1_5069	2	-2.51
GCGR	DAP3_1312	2	-2.51
VPS41	DAP4_5013	2	-2.51
ALAS1	DAP4_3697	2	-2.53
SLC37A4	DAP3_3022	2	-2.53
CTBS	DAP3_1761	2	-2.54
ART1	DAP3_2994	2	-2.54
LOC157567	DAP2_2062	2	-2.54
F9	DAP1_2179	2	-2.54
ERCC5	DAP3_2354	2	-2.54
SDHC	DAP3_1646	2	-2.55
GRM5	DAP4_5452	2	-2.56
RFC2	DAP4_0010	2	-2.58
WDR23	DAP4_5653	2	-2.59
PIGK	DAP4_5383	2	-2.6
LIPC	DAP1_0559	2	-2.6
EIF2B1	DAP1_0147	2	-2.61
TRAF6	DAP4_5846	2	-2.62
C4BPB	DAP3_4919	2	-2.62
HMGCL	DAP3_5291	2	-2.65
TIMM8A	DAP4_0781	2	-2.65
DAD1	DAP1_2989	2	-2.65
ZBTB17	DAP4_5591	2	-2.65
PROS1	DAP4_4262	2	-2.66
DOCK4	DAP4_2906	2	-2.66
ATP6AP2	DAP4_3262	2	-2.67
PACAP	DAP1_2114	2	-2.67
C8B	DAP4_1895	2	-2.69
AARS	DAP3_5846	2	-2.7
ADH5	DAP3_1407	2	-2.75
AKR1D1	DAP2_1588	2	-2.76
PCK1	DAP4_1564	2	-2.76
GHR	DAP3_3625	2	-2.77
HABP2	DAP4_0915	2	-2.81
XPA	DAP4_5179	2	-2.82
CPOX	DAP4_2356	2	-2.82
TAF1C	DAP4_1959	2	-2.82
C9	DAP2_6048	2	-2.83
HAAO	DAP3_5885	2	-2.83
SUCLG1	DAP1_1983	2	-2.84
IGF1	DAP3_5880	2	-2.84
AR	DAP4_3933	2	-2.84
SC5DL	DAP3_2733	2	-2.87
PLG	DAP2_1608	2	-2.88
TXN2	DAP1_1650	2	-2.9
SGNE1	DAP4_3541	2	-2.93
CYB5	DAP1_0453	2	-2.96
RPS6KA5	DAP3_2434	2	-3
PKLR	DAP2_4247	2	-3.01
MAC30	DAP3_0210	2	-3.06
PPP1R1A	DAP3_2216	2	-3.07
PSMB3	DAP3_1558	2	-3.09
PTPN2	DAP1_3979	2	-3.12
ADRA2B	DAP4_2813	2	-3.19
SAH	DAP3_1951	2	-3.21
PFKFB1	DAP3_2208	2	-3.22
IMPA1	DAP4_3479	2	-3.22
RLF	DAP1_5588	2	-3.23
TTR	DAP4_0296	2	-3.27
ALDH9A1	DAP3_4190	2	-3.34
